Name,Gender,Occurences
Emmalyn,F,388
Lauryn,F,387
Chanel,F,386
Tinsley,F,386
Jessie,F,385
Lacey,F,385
Elyse,F,384
Janiyah,F,384
Jolie,F,384
Ezra,F,383
Marleigh,F,383
Roselyn,F,383
Lillie,F,382
Louisa,F,382
Madisyn,F,379
Penny,F,379
Kinslee,F,378
Treasure,F,372
Zaniyah,F,372
Estella,F,370
Jaylah,F,370
Khaleesi,F,370
Alexia,F,369
Dulce,F,369
Indie,F,369
Maxine,F,369
Waverly,F,368
Giovanna,F,367
Miley,F,366
Saoirse,F,366
Estrella,F,365
Greta,F,365
Rosalia,F,365
Mylah,F,362
Teresa,F,362
Bridget,F,361
Kelly,F,361
Adalee,F,360
Aubrie,F,360
Lea,F,360
Harlee,F,359
Anika,F,358
Itzayana,F,358
Hana,F,357
Kaisley,F,357
Mikaela,F,357
Naya,F,356
Avalynn,F,355
Margo,F,355
Sevyn,F,355
Florence,F,354
Keilani,F,354
Lyanna,F,351
Joelle,F,350
Kataleya,F,350
Royal,F,350
Averi,F,349
Kallie,F,349
Winnie,F,349
Baylee,F,348
Martha,F,348
Pearl,F,348
Alaiya,F,347
Rayne,F,347
Sylvie,F,347
Brylee,F,346
Jazmine,F,346
Ryann,F,346
Kori,F,345
Noemi,F,345
Haylee,F,344
Julissa,F,344
Celia,F,343
Laylah,F,343
Rebekah,F,343
Rosalee,F,342
Aya,F,341
Bria,F,341
Adele,F,340
Aubrielle,F,340
Tiffany,F,340
Addyson,F,338
Kai,F,338
Bellamy,F,337
Leilany,F,337
Princess,F,337
Chana,F,336
Estelle,F,336
Selene,F,335
Sky,F,335
Dani,F,334
Thalia,F,334
Ellen,F,333
Rivka,F,333
Amelie,F,332
Andi,F,332
Kynlee,F,332
Raina,F,332
Vienna,F,332
Alianna,F,331
Livia,F,331
Madalyn,F,331
Mercy,F,331
Novalee,F,331
Ramona,F,331
Vada,F,331
Berkley,F,330
Gwen,F,330
Persephone,F,330
Milena,F,329
Paula,F,329
Clare,F,328
Kairi,F,327
Linda,F,327
Paulina,F,327
Kamilah,F,326
Amoura,F,325
Hunter,F,325
Isabela,F,325
Karen,F,325
Marianna,F,325
Sariyah,F,325
Theodora,F,325
Annika,F,324
Kyleigh,F,324
Nellie,F,324
